C:/Users/Admin/Claude/Projects/TappyAI/tappyai-release-vc7	release/android-vc7	a4defa9	2026-08-19	0	0
C:/Users/Admin/Claude/Projects/TappyAI/tappyai-safety	safety/explore-moderation-audit	df385eb	2026-08-19	0	0
C:/Users/Admin/Claude/Projects/TappyAI/tappyai-scamfix	fix/scam-shield-inconclusive	68d34db	2026-08-19	0	0
C:/Users/Admin/Claude/Projects/TappyAI/tappyai-sec-next	security/next-14.2.35	7fa2c31	2026-08-03	0	0
C:/Users/Admin/Claude/Projects/TappyAI/tappyai-secfix	fix/platform-owner-revoke-public	3219e7f	2026-08-08	0	0
C:/Users/Admin/Claude/Projects/TappyAI/tappyai-settings-delete	feat/settings-delete-account-link	185814e	2026-08-06	0	0
C:/Users/Admin/Claude/Projects/TappyAI/tappyai-stabilization	fix/web-production-stabilization	4ecd74d	2026-07-23	0	0
C:/Users/Admin/Claude/Projects/TappyAI/tappyai-supertux	fix/supertux-preload-removal	a04c52a	2026-08-07	0	0
C:/Users/Admin/Claude/Projects/TappyAI/tappyai-telemetry	feat/chat-stage-telemetry	6c29826	2026-08-07	0	0
C:/Users/Admin/Claude/Projects/TappyAI/tappyai-v2-recon	main	3e23586	2026-08-27	0	0
C:/Users/Admin/Claude/Projects/TappyAI/tappyai-v2fix	feat/consultative-decision-experience	933da94	2026-08-23	0	0
C:/Users/Admin/Claude/Projects/TappyAI/tappyai-web-release	fix/spec-guard-lone-connector	4dce9cb	2026-08-17	0	0
C:/wt404	fix/deleted-review-404	23999bc	2026-09-01	0	0
C:/wta5	chore/remove-temp-diag	e2bd84f	2026-08-28	0	0
C:/wtandroid	fix/android-scan-gallery-decode	e621f7f	2026-08-25	0	1
C:/wtbroadcast	feat/phase-c-broadcast	cb6e0bd	2026-08-30	0	0
C:/wtclip	fix/notification-clip-context	d1a1d7c	2026-09-01	0	0
C:/wtcta	fix/web-cta-marker-leak	5d4fa20	2026-08-27	0	0
C:/wtctrl24	feat/controller-v24-login	ca8bfd2	2026-08-29	0	0
C:/wtdocs	docs/controller-v2-status-sync	3453edb	2026-08-30	0	0
C:/wtdq	feat/consultative-decision-quality	2319603	2026-08-24	0	0
C:/wtfix	fix/optimistic-state-rollback	af87c56	2026-09-01	0	0
C:/wtios	ios/marker-leak-parity	883be30	2026-08-27	0	0
C:/wtlike	fix/like-list-count-click	5424e7e	2026-08-31	0	0
C:/wtmusic	fix/ios-music-library-entry	0321ae0	2026-08-27	0	0
C:/wtobs	feat/gcp-observability	3598864	2026-08-23	0	0
C:/wtorigin	fix/controller-origin-gate	eb3b9c4	2026-08-30	0	0
C:/wtperf	fix/og-share-card-otter-logo	97f02ff	2026-08-29	0	0
C:/wtphasec	docs/phase-c-broadcast-contract	832743c	2026-08-31	0	0
C:/wtpush	fix/push-credential-ownership	06e7ef0	2026-08-30	0	0
C:/wtpush2	fix/push-identity-reconcile	0bc4aaf	2026-08-30	0	0
C:/wtrecord	docs/marketing-phase2-progress	393218a	2026-09-02	0	0
C:/wtssrf	guard/ai-image-url-ssrf	d74e553	2026-09-01	0	0
C:/wtstatus	docs/status-production-revision	3a577c7	2026-08-31	0	0
C:/wtuat	(detached)	7deee03	2026-08-24	0	0
C:/wtux	fix/login-return-and-touch-target	9649e9c	2026-09-01	0	0
C:/wtvid	fix/canonical-video-viewer	534d50d	2026-09-01	0	0
D:/Claude/Projects/TappyAI/.worktrees/affiliate-xplat	feat/affiliate-cross-platform	475f31c	2026-09-17	0	0
D:/Claude/Projects/TappyAI/.worktrees/ccp-canonical	feat/ccp-canonical	4b84aa9	2026-09-17	0	0
D:/Claude/Projects/TappyAI/.worktrees/ccp-mvp	feat/ccp-mvp	56a5726	2026-09-13	0	0
D:/Claude/Projects/TappyAI/.worktrees/g1-growth	feat/g1-growth	7b0ee0c	2026-09-13	15	47
D:/Claude/Projects/TappyAI/.worktrees/tappy-business-p0	feat/tappy-business-p0	23f5e30	2026-09-09	0	1
D:/Claude/Projects/TappyAI/.worktrees/v3-user-data-foundation	feat/v3-user-data-foundation	08a6aed	2026-09-11	8	4
D:/Claude/Projects/TappyAI/tappyai-mvp/.claude/worktrees/audit-nonprod	(detached)	f6712b8	2026-09-15	0	2
D:/Claude/Projects/TappyAI/tappyai-mvp/.claude/worktrees/determined-knuth-609039	(detached)	842379b	2026-09-11	0	0
D:/Claude/Projects/TappyAI/tappyai-mvp/.claude/worktrees/g1-place-guard	merge/main-into-v3	968472e	2026-09-17	0	0
D:/Claude/Projects/TappyAI/tappyai-places-contract	fix/places-marker-contract	d675990	2026-09-11	0	0
D:/Claude/Projects/TappyAI/tappyai-shopping-contract	fix/shopping-marker-product-identity	b85ddd9	2026-09-05	2	0
D:/Claude/Projects/TappyAI/tappyai-v3-canonical	integration/v3-canonical	c1e1227	2026-09-17	97	55
